BLZ;Institutsname;BIC
37020400;TOYOTA Kreditbank Köln;TOBADE33XXX
37020500;Bank für Sozialwirtschaft;BFSWDE33XXX
37020600;Santander Consumer Bk Köln;AKBCDE31XXX
37020900;Ford Bank Köln;FDBADE3KXXX
37021100;Mazda Bank Köln;MAZDDED1XXX
37021300;Jaguar Fin Serv Köln;JAGUDE31XXX
37021400;Land Rover Fin Serv Köln;LRFSDE31XXX
37030200;Oppenheim, Sal - jr & Cie;SOPPDE3KXXX
37030700;abcbank Köln;WWBADE3AXXX
37030800;Isbank Köln;ISBKDEFXKOL
37040037;Commerzbank CC SP, Köln;COBADEFFXXX
37040044;Commerzbank Köln;COBADEFFXXX
37040048;Commerzbank KOE GF-K48;COBADEFFXXX
37040060;Commerzbank CC Köln;COBADEFFXXX
37040061;Commerzbank CC Köln;COBADEFFXXX
37050198;Sparkasse KölnBonn;COLSDE33XXX
37050299;Kreissparkasse Köln;COKSDE33XXX
37060120;Pax-Bank Gf MHD;GENODED1PA7
37060193;Pax-Bank Köln;GENODED1PAX
37060590;Sparda-Bank West;GENODED1SPK
37060615;apoBank Köln;DAAEDED1015
37060993;PSD Bank Köln;GENODEF1P13
37062124;Bensberger Bank;GENODED1BGL
37062365;Raiffbk Frechen-Hürth;GENODED1FHH
37062600;VR Bank Bergisch Gladbach;GENODED1PAF
37063367;Raiffbk Fischenich-Kende;GENODED1FKH
37069101;Spar-u Darlehnskasse;GENODED1AEG
37069103;Raiffeisenbank Aldenhoven;GENODED1ALD
37069125;Raiffbk Kürten-Odenthal;GENODED1RKO
37069153;Spar-u Darlehnskasse -alt-;GENODED1HCK
37069164;Volksbank Meerbusch;GENODED1MBU
37069252;Volksbank Erft Elsdorf;GENODED1ERE
37069302;Raiffbk Geilenkirchen;GENODED1GLK
37069303;Volksbank Gemünd-Kall -alt-;GENODED1GKK
37069306;Raiffeisenbank Grevenbroich;GENODED1GRB
37069322;Raiffeisenbank Gymnich;GENODED1EGY
37069330;Volksbank Haaren;GENODED1HAW
37069331;Raiffeisenbank von 1895;GENODED1KHO
37069342;Volksbank Heimbach;GENODED1HMB
37069354;Raiffbk Selfkant -alt-;GENODED1SEG
37069355;Spar-u Darlehnskasse;GENODED1AHO
37069381;VR-Bank Rur-Wurm;GENODED1IMM
37069401;Raiffeisenbank Junkersdorf;GENODED1JUK
37069405;Raiffeisenbank Kaarst;GENODED1KAA
37069412;Raiffeisenbank Heinsberg;GENODED1HRB
37069427;Volksbank Dünnwald-Holweide;GENODED1DHK
37069429;Volksbank Köln-Nord;GENODED1KNL
37069472;Raiffeisenbk Erftstadt-alt-;GENODED1ERF
37069520;VR-Bank Rhein-Sieg Siegburg;GENODED1RST
37069521;Raiffeisenbank Rhein-Berg;GENODED1MNH
37069524;Raiffbk Much-Ruppichteroth;GENODED1MUC
37069577;Raiffbk Odenthal -alt-;GENODED1ODT
37069627;Raiffbk Rheinbach Voreifel;GENODED1RBC
37069639;Rosbacher Raiffeisenbank;GENODED1WND
37069642;Raiffbk Simmerath;GENODED1SMR
37069707;Raiffbk Sankt Augustin;GENODED1SAM
37069720;VR-Bank Nordeifel Schleiden;GENODED1SLE
37069805;Volksbank Wachtberg;GENODED1WVI
37069833;Raiffeisenbk Wesseling-alt-;GENODED1WSL
37069840;VB Wipperfürth-Lindlar;GENODED1WPF
37069991;Brühler Bank, Brühl;GENODED1BRL
37070000;Deutsche Bk f Kunden Sal.Op;DEUTDEDK402
37070024;Deutsche Bank PGK Köln;DEUTDEDBKOE
37070060;Deutsche Bank Köln;DEUTDEDKXXX
37080040;Commerzbank Köln;DRESDEFF370
37080085;Commerzbank ITKG1 Köln;DRESDEFFI51
37080086;Commerzbank ITGK4 Köln;DRESDEFFI67
37080087;Commerzbank ITGK5 Köln;DRESDEFFI96
37080088;Commerzbank ITGK6 Köln;DRESDEFFI97
37080089;Commerzbank ITGK7 Köln;DRESDEFFI98
37080090;Commerzbank ITGK8 Köln;DRESDEFFJ01
37080091;Commerzbank ITGK9 Köln;DRESDEFFJ02
37080092;Commerzbank ITGK10 Köln;DRESDEFFJ03
37080093;Commerzbank ITGK11 Köln;DRESDEFFJ04
37080094;Commerzbank ITGK12 Köln;DRESDEFFJ05
37080095;Commerzbank ITGK13 Köln;DRESDEFFJ06
37080096;Commerzbank Zw 96 Köln;DRESDEFFXXX
37080097;Commerzbank Zw 97 Köln;DRESDEFFXXX
37080098;Commerzbank ITGK14 Köln;DRESDEFFJ07
37080099;Commerzbank Zw 99 Köln;DRESDEFFI36
37089340;Commerzbank ITGK I Köln;DRESDEFFI04
37089342;Commerzbank ITGK II Köln;DRESDEFFI05
37160087;Kölner Bank;GENODED1CGN
37161289;VR-Bank Rhein-Erft;GENODED1BRH
37540050;Commerzbank Leverkusen;COBADEFFXXX
37551020;St Spk Leichlingen Rheinl;WELADED1LEI
37551440;Sparkasse Leverkusen;WELADEDLLEV
37551780;St Spk Langenfeld;WELADED1LAF
37560092;Volksbank Rhein-Wupper;GENODED1RWL
37570024;Deutsche Bank PGK Leverkuse;DEUTDEDB375
37570064;Deutsche Bank Leverkusen;DEUTDEDK375
38010053;Postbank Zentrale Bonn;PBNKDEFF380
38010111;SEB Bonn;ESSEDE5F380
38010700;DSL Bank Bonn;PBNKDEFFDSL
38010900;KfW Bonn;DTABDED1XXX
38010999;KfW Ausbildungsförderung;DTABDED1AUS
38011000;VÖB-ZVD Frankfurt;VZVDDED1XXX
38011001;VÖB-ZVD Frankfurt;VZVDDED1001
38011002;VÖB-ZVD Frankfurt;VZVDDED1002
38011003;VÖB-ZVD Frankfurt;VZVDDED1003
38011004;VÖB-ZVD Frankfurt;VZVDDED1004
38011005;VÖB-ZVD Frankfurt;VZVDDED1005
38011006;VÖB-ZVD Frankfurt;VZVDDED1006
38011007;VÖB-ZVD Frankfurt;VZVDDED1007
38011008;VÖB-ZVD Frankfurt;VZVDDED1008
38020090;UniCredit Bank-HypoVereinbk;HYVEDEMM402
38040007;Commerzbank Bonn;COBADEFFXXX
38050000;Sparkasse Bonn -alt-;COLSDE33BON
38051290;St Spk Bad Honnef;WELADED1HON
38060186;Volksbank Bonn Rhein-Sieg;GENODED1BRS
38070024;Deutsche Bank PGK Bonn;DEUTDEDB380
38070059;Deutsche Bank Bonn;DEUTDEDK380
38070724;Deutsche Bank PGK DirektBk;DEUTDEDBXXX
38077724;Deutsche Bank PGK DirektBk;DEUTDEDB383
38080055;Commerzbank Bonn;DRESDEFF380
38160220;VR-Bank Bonn;GENODED1HBO
38250110;Kreissparkasse Euskirchen;WELADED1EUS
38260082;Volksbank Euskirchen;GENODED1EVB
38440016;Commerzbank Gummersbach;COBADEFFXXX
38450000;Spk Gummersbach-Bergneust;WELADED1GMB
38452490;Sparkasse Wiehl;WELADED1WIE
38462135;Volksbank Oberberg;GENODED1WIL
38470024;Deutsche Bank PGK Gummersb;DEUTDEDB384
38470091;Deutsche Bank Gummersbach;DEUTDEDW384
38621500;Steyler Bank;GENODED1STB
38650000;Kr Spk Siegburg;WELADED1SGB
38651390;Sparkasse Hennef;WELADED1HEN
39010111;SEB Aachen;ESSEDE5F390
39020000;Aachener Bauspk Aachen;AABSDE31XXX
39040013;Commerzbank Aachen;COBADEFFXXX
39050000;Sparkasse Aachen;AACSDE33XXX
39060180;Aachener Bank;GENODED1AAC
39060630;apoBank Aachen;DAAEDED1030
39061981;Heinsberger Volksbank;GENODED1HNB
39070020;Deutsche Bank Aachen;DEUTDEDK390
39070024;Deutsche Bank PGK Aachen;DEUTDEDB390
39080005;Commerzbank Aachen;DRESDEFF390
39080098;Commerzbank Zw 98 Aachen;DRESDEFFI37
39080099;Commerzbank Zw 99 Aachen;DRESDEFFI38
39160191;Pax-Bank Aachen;GENODED1PA1
39161490;Volksbank Aachen Süd;GENODED1AAS
39162980;VR-Bank Würselen;GENODED1WUR
39362254;Raiffeisen-Bank Eschweiler;GENODED1RSC
39540052;Commerzbank Düren;COBADEFFXXX
39550110;Sparkasse Düren;SDUEDE33XXX
39560201;Volksbank Düren;GENODED1DUE
39570024;Deutsche Bank PGK Düren;DEUTDEDB395
39570061;Deutsche Bank Düren;DEUTDEDK395
39580041;Commerzbank Düren;DRESDEFF395
40010111;SEB Münster Westf;ESSEDE5F400
40022000;NRW.BANK Münster;NRWBDEDMMST
40030000;Münsterländische Bk Münster;MLBKDE3MXXX
40040028;Commerzbank Münster Westf;COBADEFFXXX
40050000;Ld Bk Hess-Thür, Gz, Dus;WELADE3MXXX
40050150;Spk Münsterland Ost;WELADED1MST
40055555;LBS West Münster;LBSWDE31XXX
40060000;WGZ Bank Münster;GENODEMSXXX
40060265;DKM Darlehnskasse Münster;GENODEM1DKM
40060300;WL BANK Münster;GENODEM1WLM
40060560;Sparda-Bank Münster;GENODEF1S08
40060614;apoBank Münster;DAAEDED1014
40061238;Volksbank Greven;GENODEM1GRV
40069226;Volksbank Lette-Darup-Rorup;GENODEM1CND
40069266;Volksbank Marsberg;GENODEM1MAS
40069283;Volksbank Schlangen;GENODEM1SLN
40069348;Volksbank Medebach -alt-;GENODEM1MDB
40069362;Volksbank Saerbeck;GENODEM1SAE
40069363;Volksbank Schermbeck;GENODEM1SMB
40069371;Volksbank Thülen;GENODEM1BTH
40069408;Volksbank Baumberge;GENODEM1BAU
40069462;Volksbank Sprakel;GENODEM1MSS
40069477;Volksbank Wulfen -alt-;GENODEM1DWU
40069546;Volksbank Senden;GENODEM1SDN
40069600;Volksbank Amelsbüren;GENODEM1MAB
40069601;Volksbank Ascheberg-Herbern;GENODEM1CAN
40069606;Volksbank Erle;GENODEM1ERR
40069622;Volksbank Seppenrade;GENODEM1LSP
40069636;Volksbank Lette -alt-;GENODEM1CLE
40069709;Volksbank Lembeck-Rhade;GENODEM1DLR
40069716;Volksbank Nordkirchen;GENODEM1SCN
40070024;Deutsche Bank PGK Münster;DEUTDEDB400
40070080;Deutsche Bank Münster Westf;DEUTDE3B400
40080040;Commerzbank Münster;DRESDEFF400
40080085;Commerzbank ITGK1 Münster;DRESDEFFI68
40090900;PSD Bank Westfalen-Lippe;GENODEF1P15
40150001;Helaba Dus, Gf Ver. FI-Mün;
40153768;Sparkasse Emsdetten Ochtrup;WELADED1EMS
40154006;Spk Gronau;WELADED1GRO
40154476;St Spk Lengerich;WELADED1LEN
40154530;Sparkasse Westmünsterland;WELADE3WXXX
40154702;St Spk Stadtlohn;WELADED1STL
40160050;Volksbank Münster;GENODEM1MSC
40163720;VB Nordmünsterland Rheine;GENODEM1SEE
40164024;Volksbank Gronau-Ahaus;GENODEM1GRN
40164256;VB Laer-Horstmar-Leer;GENODEM1LAE
40164352;Volksbank Nottuln;GENODEM1CNO
40164528;VB Lüdinghausen-Olfen;GENODEM1LHN
40164618;Volksbank Ochtrup;GENODEM1OTR
40164901;Volksbank Gescher;GENODEM1GE1
40165366;Volksbank Selm-Bork;GENODEM1SEM
40166439;VB Lengerich/Lotte -alt-;GENODEM1LLE
40166800;Volksbank Buldern -alt-;GENODEM1BUL
40340030;Commerzbank Rheine Westf;COBADEFFXXX
40350005;St Spk Rheine;WELADED1RHN
40351060;Kr Spk Steinfurt;WELADED1STF
40351220;Sparkasse Steinfurt -alt-;WELADED1IBB
40361627;VB Westerkappeln-Wersen;GENODEM1WKP
40361906;VR-Bank Kreis Steinfurt;GENODEM1IBB
40363433;Volksbank Hörstel -alt-;GENODEM1HRL
40370024;Deutsche Bank PGK Rheine;DEUTDEDB403
40370079;Deutsche Bank Rheine, Westf;DEUTDE3B403
41010111;SEB Hamm Westf;ESSEDE5F410
41040018;Commerzbank Hamm Westf;COBADEFFXXX
41041000;ZTB der Commerzbank;COBADEFFXXX
41050095;Sparkasse Hamm;WELADED1HAM
41051605;St Spk Werne;WELADED1WRN
41051845;Spk Bergkamen-Bönen;WELADED1BGK
41060120;Volksbank Hamm -alt-;GENODEM1HMM
41061011;Spar-u Darlehnskasse;GENODEM1HBH
41061903;BAG Bankaktienges Hamm;GENODEM1BAG
41062215;Volksbank Bönen;GENODEM1BO1
41070024;Deutsche Bank PGK Hamm;DEUTDEDB410
41070049;Deutsche Bank Hamm;DEUTDEDE410
41240048;Commerzbank BE F-B48;COBADEFFXXX
41250035;Spk Beckum-Wadersloh;WELADED1BEK
41260006;Volksbank Beckum -alt-;GENODEM1BEK
41261324;VB Enniger-Ostenfelde-Westk;GENODEM1EOW
41261419;VB Oelde-Ennigerloh-Neubeck;GENODEM1OEN
41262501;VB Ahlen-Sassenberg-Warendf;GENODEM1AHL
41262621;Ver VB Telgte;GENODEM1SDH
41280043;Commerzbank Beckum Westf;DRESDEFF413
41440018;Commerzbank Soest Westf;COBADEFFXXX
41450075;Sparkasse Soest;WELADED1SOS
41451750;Sparkasse Werl;WELADED1WRL
41460116;Volksbank Hellweg;GENODEM1SOE
41462295;Volksbank Wickede (Ruhr);GENODEM1WRU
41650001;Spk Lippstadt;WELADED1LIP
41651770;Spk Hochsauerland Brilon;WELADED1HSL
41651815;Spk Erwitte-Anröchte;WELADED1ERW
41651965;Sparkasse Geseke;WELADED1GES
41652560;Spk Warstein-Rüthen -alt-;WELADED1WAR
41660124;Volksbank Beckum-Lippstadt;GENODEM1LPS
41661206;Volksbank Anröchte;GENODEM1ANR
41661504;VB Benninghausen -alt-;GENODEM1LBH
41661719;Volksbank Brilon -alt-;GENODEM1BRI
41662465;Volksbank Störmede;GENODEM1SGE
41662557;VB Warstein-Belecke -alt-;GENODEM1WST
41663335;Volksbank Hörste;GENODEM1HOE
41670024;Deutsche Bank PGK Lippstadt;DEUTDEDB416
41670027;Deutsche Bank Lippstadt;DEUTDE3B416
41670028;Deutsche Bank Brilon;DEUTDE3B417
41670029;Deutsche Bank Soest Westf;DEUTDE3B414
41670030;Deutsche Bank Werl;DEUTDE3B418
42010111;SEB Gelsenkirchen;ESSEDE5F420
42030600;Isbank Gelsenkirchen;ISBKDEFXGEL
42040040;Commerzbank Gelsenkirchen;COBADEFFXXX
42050001;Sparkasse Gelsenkirchen;WELADED1GEK
42070024;Deutsche Bank PGK Gelsenkir;DEUTDEDB420
42070062;Deutsche Bank Gelsenkirchen;DEUTDEDE420
42080082;Commerzbank Gelsenkirchen;DRESDEFF420
42260001;VB Ruhr Mitte Gelsenkirchen;GENODEM1GBU
42450040;St Spk Gladbeck;WELADED1GLA
42451220;Spk Bottrop;WELADED1BOT
42461435;Volksbank Kirchhellen;GENODEM1KIH
42610112;SEB Recklinghausen;ESSEDE5F426
42640048;Commerzbank Recklinghausen;COBADEFFXXX
42650150;Spk Recklinghausen;WELADED1REK
42651315;St Spk Haltern;WELADED1HAT
42661008;VB Marl-Recklinghausen;GENODEM1MRL
42661330;Volksbank Haltern;GENODEM1HLT
42661522;VB Herten-Westerholt -alt-;GENODEM1HWE
42661717;Volksbank Waltrop;GENODEM1WLW
42662320;Volksbank Dorsten;GENODEM1DST
42680081;Commerzbank Recklinghsn;DRESDEFF426
42840005;Commerzbank Bocholt;COBADEFFXXX
42850035;Stadtsparkasse Bocholt;WELADED1BOH
42860003;Volksbank Bocholt;GENODEM1BOH
42861239;Spar-u Darlehnskasse Reken;GENODEM1RKN
42861387;VR-Bank Westmünsterland;GENODEM1BOB
42861515;Volksbank Gemen;GENODEM1BOG
42861608;Volksbank Heiden;GENODEM1HEI
42861814;Volksbank Rhede;GENODEM1RHD
42862451;Volksbank Raesfeld;GENODEM1RAE
42870024;Deutsche Bank PGK Bocholt;DEUTDEDB428
42870077;Deutsche Bank Bocholt;DEUTDE3B428
43000000;BBk Bochum;MARKDEF1430
43010111;SEB Bochum;ESSEDE5F430
43040036;Commerzbank Bochum;COBADEFFXXX
43050001;Sparkasse Bochum;WELADED1BOC
43051040;Sparkasse Hattingen;WELADED1HTG
43060129;Volksbank Bochum Witten;GENODEM1BOC
43060967;GLS Gemeinschaftsbk Bochum;GENODEM1GLS
43070024;Deutsche Bank PGK Bochum;DEUTDEDB430
43070061;Deutsche Bank Bochum;DEUTDEDE430
43080083;Commerzbank Bochum;DRESDEFF430
43250030;Herner Sparkasse;WELADED1HRN
44000000;BBk Dortmund;MARKDEF1440
44010046;Postbank Dortmund;PBNKDEFFXXX
44010111;SEB Dortmund;ESSEDE5F440
44020090;UniCredit Bank-HypoVereinbk;HYVEDEMM808
44040037;Commerzbank Dortmund;COBADEFFXXX
44040060;Commerzbank CC Dortmund;COBADEFFXXX
44040061;Commerzbank CC Dortmund;COBADEFFXXX
44040085;Commerzbank Gf WK, Dortmund;COBADEFFXXX
44050000;Ld Bk Hess-Thür, Gz, Dus;WELADE3DXXX
44050199;Sparkasse Dortmund;DORTDE33XXX
44060122;Volksbank Dortmund-Nordwest;GENODEM1DNW
44060604;apoBank Dortmund;DAAEDED1004
44064406;KD-Bank Dortmund;GENODED1KDD
44070024;Deutsche Bank PGK Dortmund;DEUTDEDB440
44070050;Deutsche Bank Dortmund;DEUTDEDE440
44080050;Commerzbank Dortmund;DRESDEFF440
44080055;Commerzbk Zw55 Dortmund;DRESDEFF446
44080057;Commerzbk ZW 57 Dortmund;DRESDEFF447
44080085;Commerzbank ITGK2 Dortmnd;DRESDEFFI69
44089320;Commerzbank ITGK Dortmund;DRESDEFFI18
44090920;PSD Bank Dortmund -alt-;GENODEF1P04
44152370;Sparkasse Lünen;WELADED1LUN
44152490;Sparkasse Schwerte;WELADED1SWT
44160014;Dortmunder Volksbank;GENODEM1DOR
44340037;Commerzbank Unna;COBADEFFXXX
44350060;Sparkasse UnnaKamen;WELADED1UNN
44351380;Sparkasse Kamen -alt-;WELADED1KAM
44351740;Sparkasse Fröndenberg;WELADED1FRN
44361342;VB Kamen-Werne;GENODEM1KWK
44540022;Commerzbank Iserlohn;COBADEFFXXX
44550045;Spk der Stadt Iserlohn;WELADED1ISL
44551210;Spk Märkisches Sauerland;WELADED1HEM
44570004;Deutsche Bank Iserlohn;DEUTDEDW445
44570024;Deutsche Bank PGK Iserlohn;DEUTDEDB445
44580070;Commerzbank Iserlohn;DRESDEFF445
44580085;Commerzbank ITGK1 Iserlhn;DRESDEFFI70
44750065;Sparkasse Menden -alt-;WELADED1MEN
44761312;Mendener Bank;GENODEM1MEN
44761534;VB im Märkischen Kreis;GENODEM1NRD
45000000;BBk Hagen;MARKDEF1450
45040042;Commerzbank Hagen Westf;COBADEFFXXX
45050001;Sparkasse Hagen;WELADE3HXXX
45051485;St Spk Herdecke;WELADED1HER
45060009;Märkische Bank Hagen;GENODEM1HGN
45061524;Volksbank Hohenlimburg;GENODEM1HLH
45070002;Deutsche Bank Hagen;DEUTDEDW450
45070024;Deutsche Bank PGK Hagen;DEUTDEDB450
45080060;Commerzbank Hagen;DRESDEFF450
45240056;Commerzbank Witten;COBADEFFXXX
45250035;Sparkasse Witten;WELADED1WTN
45251480;St Spk Wetter Ruhr;WELADED1WET
45251515;St Spk Sprockhövel;SPSHDE31XXX
45260041;Volksbank Witten -alt-;GENODEM1WTN
45260475;Spar- und Kreditbank;GENODEM1BFG
45261547;Volksbank Sprockhövel;GENODEM1SPO
45450050;St Spk Gevelsberg;WELADED1GEV
45451060;Spk Ennepetal-Breckerfeld;WELADED1ENE
45451555;St Spk Schwelm;WELADED1SLM
45660029;Volksbank Altena -alt-;GENODEM1ALA
45840026;Commerzbank Lüdenscheid;COBADEFFXXX
45841031;Commerzbank Plettenberg;COBADEFFXXX
45850005;Spk Lüdenscheid;WELADED1LSD
45851020;Ver Spk Plettenberg;WELADED1PLB
45851665;Spk Kierspe-Meinerzhagen;WELADED1KMZ
45860033;Volksbank Lüdenscheid -alt-;GENODEM1LHA
45861434;Volksbank Kierspe;GENODEM1KIE
45861617;Volksbank Meinerzhagen -alt;GENODEM1MOM
46010111;SEB Siegen;ESSEDE5F460
46040033;Commerzbank Siegen Westf;COBADEFFXXX
46050001;Spk Siegen;WELADED1SIE
46051240;Spk Burbach-Neunkirchen;WELADED1BUB
46051733;St Spk Freudenberg Westf;WELADED1FRE
46051875;St Spk Hilchenbach;WELADED1HIL
46052855;St Spk Schmallenberg Sauerl;WELADED1SMB
46053480;Sparkasse Wittgenstein;WELADED1BEB
46060040;Volksbank Siegerland Siegen;GENODEM1SNS
46061724;VR-Bank Freudenb.-Niederfi.;GENODEM1FRF
46062817;Volksbank Bigge-Lenne;GENODEM1SMA
46063405;Volksbank Wittgenstein;GENODEM1BB1
46070024;Deutsche Bank PGK Siegen;DEUTDEDB460
46070090;Deutsche Bank Siegen;DEUTDEDK460
46080010;Commerzbank Siegen;DRESDEFF460
46240016;Commerzbank Olpe Biggesee;COBADEFFXXX
46250049;Spk Olpe-Drolshagen-Wenden;WELADED1OPE
46251590;Spk Finnentrop;WELADED1FTR
46251630;Spk Attend-Lennest-Kirchhdm;WELADED1ALK
46260023;Volksbank Olpe -alt-;GENODEM1OLP
46261607;Volksbank Grevenbrück -alt-;GENODEM1GLG
46261822;VB Olpe-Wenden-Drolshagen;GENODEM1WDD
46262456;Volksbank Bigge-Lenne -alt-;GENODEM1HUL
46441003;Commerzbank Meschede;COBADEFFXXX
46451012;Sparkasse Meschede;WELADED1MES
46451250;Spk Bestwig -alt-;WELADED1BST
46461126;Volksbank Sauerland -alt-;GENODEM1SRL
46462271;SpDK Oeventrop;GENODEM1ANO
46464453;Volksbank Reiste-Eslohe;GENODEM1RET
46640018;Commerzbank Arnsberg-Neheim;COBADEFFXXX
46650005;Spk Arnsberg-Sundern;WELADED1ARN
46660022;Volksbank Sauerland;GENODEM1NEH
46670007;Deutsche Bank Arnsberg;DEUTDEDW466
46670024;Deutsche Bank PGK Arnsberg;DEUTDEDB961
47240047;Commerzbank Paderborn;COBADEFFXXX
47250101;Sparkasse Paderborn -alt-;WELADED1PBN
47251550;Spk Höxter Brakel;WELADED1HXB
47251740;St Spk Delbrück;WELADED1DEL
47260121;VB Paderborn-Höxter-Detmold;DGPBDE3MXXX
47260234;VB Elsen-Wewer-Borchen;GENODEM1EWB
47260307;Bank für Kirche und Caritas;GENODEM1BKC
47261429;Volksbank Haaren -alt-;GENODEM1WNH
47261603;VB Brilon-Büren-Salzkotten;GENODEM1BUS
47262626;Volksbank Westenholz;GENODEM1WDE
47262703;VB Delbrück-Hövelhof;GENODEM1DLB
47263472;VB Westerloh-Westerwiehe;GENODEM1WWW
47264367;Vereinigte Volksbank;GENODEM1STM
47265383;VB Wewelsburg-Ahden;GENODEM1WAH
47267216;Volksbank Borgentreich-alt-;GENODEM1BOT
47270024;Deutsche Bank PGK Paderborn;DEUTDEDB472
47270029;Deutsche Bank Paderborn;DEUTDE3B472
47460028;VB Warburger Land -alt-;GENODEM1WBG
47640051;Commerzbank Detmold;COBADEFFXXX
47650130;Spk Paderborn-Detmold;WELADE3LXXX
47651225;St Spk Blomberg;WELADED1BLO
47670023;Deutsche Bank Detmold;DEUTDE3B476
47670024;Deutsche Bank PGK Detmold;DEUTDEDB476
47691200;Volksbank Ostlippe;GENODEM1OLB
47840065;Commerzbank Gütersloh;COBADEFFXXX
47840080;Commerzbank Zw 80;COBADEFFXXX
47850065;Spk Gütersloh;WELADED1GTL
47852760;Spk Rietberg;WELADED1RTG
47853355;St Spk Versmold;WELADED1VSM
47853520;Kreissparkasse Wiedenbrück;WELADED1WDB
47860125;VB Bielefeld-Gütersloh;GENODEM1GTL
47861317;VB im Ostmünsterland;GENODEM1CLL
47861518;Volksbank Harsewinkel -alt-;GENODEM1HWI
47861806;Volksbank Kaunitz;GENODEM1VKA
47861907;Volksbank Langenberg -alt-;GENODEM1LNB
47862261;Volksbank Marienfeld -alt-;GENODEM1MFD
47862447;Volksbank Rietberg;GENODEM1RNE
47863373;Volksbank Versmold;GENODEM1VMD
47880031;Commerzbank Gütersloh;DRESDEFF478
48000000;BBk Bielefeld;MARKDEF1480
48010111;SEB Bielefeld;ESSEDE5F480
48020086;UniCredit Bank-HypoVereinbk;HYVEDEMM344
48020151;Bankhaus Lampe Bielefeld;LAMPDEDDXXX
48021900;Bankv.Werther ZwNdl VB PHD;DGPBDE3MBVW
48040035;Commerzbank Bielefeld;COBADEFFXXX
48040060;Commerzbank CC Bielefeld;COBADEFFXXX
48040061;Commerzbank CC Bielefeld;COBADEFFXXX
48050161;Spk Bielefeld;SPBIDE3BXXX
48051580;Kreissparkasse Halle;WELADED1HAW
48060036;Bielefelder Volksbank -alt-;GENODEM1BIE
48062051;Volksbank Halle/Westf;GENODEM1HLW
48062466;Spar-u Darlehnskasse -alt-;GENODEM1SHS
48070020;Deutsche Bank Bielefeld;DEUTDE3BXXX
48070024;Deutsche Bank PGK Bielefeld;DEUTDEDBBIE
48070040;Deutsche Bank Gütersloh;DEUTDE3B480
48070042;Deutsche Bank Harsewinkel;DEUTDE3B484
48070043;Deutsche Bank Verl;DEUTDE3B489
48070044;Deutsche Bank Rheda-Wiedenb;DEUTDE3B487
48070045;Deutsche Bank Beckum Westf;DEUTDE3B413
48070050;Deutsche Bank Herford;DEUTDE3B481
48070052;Deutsche Bank Bünde Westf;DEUTDE3B492
48080020;Commerzbank Bielefeld;DRESDEFF480
48089350;Commerzbk ITGK Bielefeld;DRESDEFFI19
48250110;Sparkasse Lemgo;WELADED1LEM
48262248;Volksbank Nordlippe -alt-;GENODEM1NLE
48291490;Volksbank Bad Salzuflen;GENODEM1BSU
49040043;Commerzbank Minden Westf;COBADEFFXXX
49050101;Sparkasse Minden-Lübbecke;WELADED1MIN
49051065;Stadtsparkasse Rahden;WELADED1RHD
49051285;St Spk Bad Oeynhausen;WELADED1OEH
49051990;St Spk Porta Westfalica;WELADED1PWF
49060127;Volksbank Mindener Land;GENODEM1MPW
49060392;Volksbank Minden;GENODEM1MND
49061298;VB Bad Oeynhausen -alt-;GENODEM1UBO
49061470;VB Stemweder Berg -alt-;GENODEM1STR
49061510;Volksbank Eisbergen -alt-;GENODEM1EPW
49070024;Deutsche Bank PGK Minden;DEUTDEDB490
49070028;Deutsche Bank Minden, Westf;DEUTDE3B490
49080025;Commerzbank Minden Westf;DRESDEFF491
49092650;Volksbank Lübbecker Land;GENODEM1LUB
49240096;Commerzbank Bünde Westf;COBADEFFXXX
49262364;Volksbank Schnathorst;GENODEM1SNA
49440043;Commerzbank Herford;COBADEFFXXX
49450120;Sparkasse Herford;WLAHDE44XXX
49461323;Volksbank Enger-Spenge -alt;GENODEM1ESP
49490070;VB Bad Oeynhausen-Herford;GENODEM1HFV
49999924;*** GAD Testserver;
49999980;*** GAD interner Server;
50000000;BBk Filiale Frankfurt Main;MARKDEF1500
50010060;Postbank Frankfurt Main;PBNKDEFFXXX
50010111;SEB Frankfurt Main;ESSEDE5FXXX
50010200;AKBANK;AKBKDEFFXXX
50010424;Aareal Bank;AARBDE5W500
50010517;ING-DiBa Frankfurt am Main;INGDDEFFXXX
50010700;Degussa Bank Frankfurt Main;DEGUDEFFXXX
50010900;Bankamerica;BOFADEFXXXX
50010910;Bank of America;BOFADEFXVAM
50012800;ALTE LEIPZIGER Bauspar;ALTEDEFAXXX
50020000;Sberbank Direct Frankfurt;SEZDDEF1XXX
50020200;BHF-BANK Frankfurt Main;BHFBDEFF500
50020300;Bremer Kreditbank;BANVDEHB500
50020400;KfW Frankfurt;KFWIDEFFXXX
50020500;Landwirtschaftl Rentenbank;LAREDEFFXXX
50020700;Credit Europe Bank Ffm;FBHLDEFFXXX
50020800;Intesa Sanpaolo Frankfurt;BCITDEFFXXX
50020900;COREALCREDIT BANK;AHYBDEFFXXX
50021000;ING Bank, Frankfurt;INGBDEFFXXX
50021100;FIL Fondsbank Frankfurt;FFBKDEFFXXX
50021120;FIL Fondsbank Kronberg;FFBKDEFFTHK
50023400;Bank of Beirut Frankfurt;BABEDEFFXXX
50025000;Opel Bank;GMGGDE51XXX
50030000;Banque PSA Finance;PSADDEF1XXX
